---,CharacterName,IntroVoice,AttackGrunts,Skill1Voice,Skill2Voice,HealVoice,HitVoices,DeathVoice,LowHPVoice,VictoryVoice,DefeatVoice,FootstepSounds,BodyFallSound,SummonSound
1,Anubis,/Game/SFX/Character/01_Anubis/Anubis_intro.Anubis_intro,"(""/Game/SFX/Character/01_Anubis/Anubis_shout_001.Anubis_shout_001"",""/Game/SFX/Character/01_Anubis/Anubis_shout_002.Anubis_shout_002"")",/Game/SFX/Character/01_Anubis/Anubis_Skill1.Anubis_Skill1,/Game/SFX/Character/01_Anubis/Anubis_Skill2.Anubis_Skill2,/Game/SFX/Character/01_Anubis/Anubis_heal_full.Anubis_heal_full,"(""/Game/SFX/Character/01_Anubis/Anubis_hit_001.Anubis_hit_001"",""/Game/SFX/Character/01_Anubis/Anubis_hit_002.Anubis_hit_002"",""/Game/SFX/Character/01_Anubis/Anubis_hit_003.Anubis_hit_003"")",/Game/SFX/Character/01_Anubis/Anubis_death.Anubis_death,/Game/SFX/Character/01_Anubis/Anubis_Rowhp.Anubis_Rowhp,/Game/SFX/Character/01_Anubis/Anubis_win_1.Anubis_win_1,/Game/SFX/Character/01_Anubis/Anubis_defeat.Anubis_defeat,"(""/Game/SFX/Character/0_FootStep/footstep_carpet_000.footstep_carpet_000"",""/Game/SFX/Character/0_FootStep/footstep_carpet_001.footstep_carpet_001"",""/Game/SFX/Character/0_FootStep/footstep_carpet_002.footstep_carpet_002"",""/Game/SFX/Character/0_FootStep/footstep_carpet_003.footstep_carpet_003"",""/Game/SFX/Character/0_FootStep/footstep_carpet_004.footstep_carpet_004"")",None,/Game/SFX/Character/22_Writer/Writer_SummonSound.Writer_SummonSound
2,Army,/Game/SFX/Character/02_Army/Army_intro.Army_intro,"(""/Game/SFX/Character/02_Army/Army_shout_001.Army_shout_001"",""/Game/SFX/Character/02_Army/Army_shout_002.Army_shout_002"")",/Game/SFX/Character/02_Army/Army_skill1.Army_skill1,/Game/SFX/Character/02_Army/Army_skill2.Army_skill2,/Game/SFX/Character/02_Army/Army_heal.Army_heal,"(""/Game/SFX/Character/02_Army/Army_hit_001.Army_hit_001"",""/Game/SFX/Character/02_Army/Army_hit_002.Army_hit_002"",""/Game/SFX/Character/02_Army/Army_hit_003.Army_hit_003"")",/Game/SFX/Character/02_Army/Army_death.Army_death,/Game/SFX/Character/02_Army/Army_LowHP.Army_LowHP,/Game/SFX/Character/02_Army/Army_win_1.Army_win_1,/Game/SFX/Character/02_Army/Army_Defeat.Army_Defeat,"(""/Game/SFX/Character/0_FootStep/footstep_carpet_000.footstep_carpet_000"",""/Game/SFX/Character/0_FootStep/footstep_carpet_001.footstep_carpet_001"",""/Game/SFX/Character/0_FootStep/footstep_carpet_002.footstep_carpet_002"",""/Game/SFX/Character/0_FootStep/footstep_carpet_003.footstep_carpet_003"",""/Game/SFX/Character/0_FootStep/footstep_carpet_004.footstep_carpet_004"")",None,/Game/SFX/Character/22_Writer/Writer_SummonSound.Writer_SummonSound
3,Binder,/Game/SFX/Character/04_Binder/Binder_intro.Binder_intro,"(""/Game/SFX/Character/04_Binder/Binder_shout_001.Binder_shout_001"",""/Game/SFX/Character/04_Binder/Binder_shout_002.Binder_shout_002"")",/Game/SFX/Character/04_Binder/Binder_skill1.Binder_skill1,/Game/SFX/Character/04_Binder/Binder_skill2.Binder_skill2,/Game/SFX/Character/04_Binder/Binder_heal_full.Binder_heal_full,"(""/Game/SFX/Character/04_Binder/Binder_hit_001.Binder_hit_001"",""/Game/SFX/Character/04_Binder/Binder_hit_002.Binder_hit_002"",""/Game/SFX/Character/04_Binder/Binder_hit_003.Binder_hit_003"")",/Game/SFX/Character/04_Binder/Binder_death.Binder_death,/Game/SFX/Character/04_Binder/Binder_LowHP.Binder_LowHP,/Game/SFX/Character/04_Binder/Binder_win_3.Binder_win_3,/Game/SFX/Character/04_Binder/Binder_defeat.Binder_defeat,"(""/Game/SFX/Character/0_FootStep/footstep_carpet_000.footstep_carpet_000"",""/Game/SFX/Character/0_FootStep/footstep_carpet_001.footstep_carpet_001"",""/Game/SFX/Character/0_FootStep/footstep_carpet_002.footstep_carpet_002"",""/Game/SFX/Character/0_FootStep/footstep_carpet_003.footstep_carpet_003"",""/Game/SFX/Character/0_FootStep/footstep_carpet_004.footstep_carpet_004"")",None,/Game/SFX/Character/22_Writer/Writer_SummonSound.Writer_SummonSound
4,Demonia,/Game/SFX/Character/06_Demonia/Demonia_Intro.Demonia_Intro,"(""/Game/SFX/Character/06_Demonia/Demonia_shout_001.Demonia_shout_001"",""/Game/SFX/Character/06_Demonia/Demonia_shout_002.Demonia_shout_002"")",/Game/SFX/Character/06_Demonia/Demonia_skill1.Demonia_skill1,/Game/SFX/Character/06_Demonia/Demonia_skill2.Demonia_skill2,/Game/SFX/Character/06_Demonia/Demonia_heal.Demonia_heal,"(""/Game/SFX/Character/06_Demonia/Demonia_hit_001.Demonia_hit_001"",""/Game/SFX/Character/06_Demonia/Demonia_hit_002.Demonia_hit_002"",""/Game/SFX/Character/06_Demonia/Demonia_hit_003.Demonia_hit_003"")",/Game/SFX/Character/06_Demonia/Demonia_death.Demonia_death,/Game/SFX/Character/06_Demonia/Demonia_LowHP.Demonia_LowHP,/Game/SFX/Character/06_Demonia/Demonia_win_1.Demonia_win_1,/Game/SFX/Character/06_Demonia/Demonia_defeat.Demonia_defeat,"(""/Game/SFX/Character/0_FootStep/footstep_carpet_000.footstep_carpet_000"",""/Game/SFX/Character/0_FootStep/footstep_carpet_001.footstep_carpet_001"",""/Game/SFX/Character/0_FootStep/footstep_carpet_002.footstep_carpet_002"",""/Game/SFX/Character/0_FootStep/footstep_carpet_003.footstep_carpet_003"",""/Game/SFX/Character/0_FootStep/footstep_carpet_004.footstep_carpet_004"")",None,/Game/SFX/Character/22_Writer/Writer_SummonSound.Writer_SummonSound
5,Enchanter,/Game/SFX/Character/07_Enchanter/Enchanter_intro.Enchanter_intro,"(""/Game/SFX/Character/07_Enchanter/Enchanter_shout_001.Enchanter_shout_001"",""/Game/SFX/Character/07_Enchanter/Enchanter_shout_002.Enchanter_shout_002"")",/Game/SFX/Character/07_Enchanter/Enchanter_skill1.Enchanter_skill1,/Game/SFX/Character/07_Enchanter/Enchanter_skill2.Enchanter_skill2,/Game/SFX/Character/07_Enchanter/Enchanter_heal.Enchanter_heal,"(""/Game/SFX/Character/07_Enchanter/Enchanter_hit_001.Enchanter_hit_001"",""/Game/SFX/Character/07_Enchanter/Enchanter_hit_002.Enchanter_hit_002"",""/Game/SFX/Character/07_Enchanter/Enchanter_hit_003.Enchanter_hit_003"")",/Game/SFX/Character/07_Enchanter/Enchanter_death.Enchanter_death,/Game/SFX/Character/07_Enchanter/Enchanter_lowHP.Enchanter_lowHP,/Game/SFX/Character/07_Enchanter/Enchanter_win_1.Enchanter_win_1,/Game/SFX/Character/07_Enchanter/Enchanter_defeat.Enchanter_defeat,"(""/Game/SFX/Character/0_FootStep/footstep_carpet_000.footstep_carpet_000"",""/Game/SFX/Character/0_FootStep/footstep_carpet_001.footstep_carpet_001"",""/Game/SFX/Character/0_FootStep/footstep_carpet_002.footstep_carpet_002"",""/Game/SFX/Character/0_FootStep/footstep_carpet_003.footstep_carpet_003"",""/Game/SFX/Character/0_FootStep/footstep_carpet_004.footstep_carpet_004"")",None,/Game/SFX/Character/22_Writer/Writer_SummonSound.Writer_SummonSound
6,Guard,/Game/SFX/Character/08_Guard/Guard_win.Guard_win,"(""/Game/SFX/Character/08_Guard/Guard_shout_001.Guard_shout_001"",""/Game/SFX/Character/08_Guard/Guard_shout_002.Guard_shout_002"")",/Game/SFX/Character/08_Guard/Guard_skill1.Guard_skill1,/Game/SFX/Character/08_Guard/Guard_skill2.Guard_skill2,/Game/SFX/Character/08_Guard/Guard_heal_full.Guard_heal_full,"(""/Game/SFX/Character/08_Guard/Guard_hit_001.Guard_hit_001"",""/Game/SFX/Character/08_Guard/Guard_hit_002.Guard_hit_002"",""/Game/SFX/Character/08_Guard/Guard_hit_003.Guard_hit_003"")",/Game/SFX/Character/08_Guard/Guard_death.Guard_death,/Game/SFX/Character/08_Guard/Guard_rowhp.Guard_rowhp,/Game/SFX/Character/08_Guard/Guard_win.Guard_win,/Game/SFX/Character/08_Guard/Guard_defeat.Guard_defeat,"(""/Game/SFX/Character/0_FootStep/footstep_carpet_000.footstep_carpet_000"",""/Game/SFX/Character/0_FootStep/footstep_carpet_001.footstep_carpet_001"",""/Game/SFX/Character/0_FootStep/footstep_carpet_002.footstep_carpet_002"",""/Game/SFX/Character/0_FootStep/footstep_carpet_003.footstep_carpet_003"",""/Game/SFX/Character/0_FootStep/footstep_carpet_004.footstep_carpet_004"")",None,/Game/SFX/Character/22_Writer/Writer_SummonSound.Writer_SummonSound
7,Hermit,/Game/SFX/Character/09_Hermit/Hermit_intro.Hermit_intro,"(""/Game/SFX/Character/09_Hermit/Hermit_shout_002.Hermit_shout_002"",""/Game/SFX/Character/09_Hermit/Hermit_shout_001.Hermit_shout_001"")",/Game/SFX/Character/09_Hermit/Hermit_skill1.Hermit_skill1,/Game/SFX/Character/09_Hermit/Hermit_skill2.Hermit_skill2,/Game/SFX/Character/09_Hermit/Hermit_heal.Hermit_heal,"(""/Game/SFX/Character/09_Hermit/Hermit_hit_001.Hermit_hit_001"",""/Game/SFX/Character/09_Hermit/Hermit_hit_002.Hermit_hit_002"",""/Game/SFX/Character/09_Hermit/Hermit_hit_003.Hermit_hit_003"")",/Game/SFX/Character/09_Hermit/Hermit_death.Hermit_death,/Game/SFX/Character/09_Hermit/Hermit_lowhp.Hermit_lowhp,/Game/SFX/Character/09_Hermit/Hermit_win_3.Hermit_win_3,/Game/SFX/Character/09_Hermit/Hermit_defeat.Hermit_defeat,"(""/Game/SFX/Character/0_FootStep/footstep_carpet_000.footstep_carpet_000"",""/Game/SFX/Character/0_FootStep/footstep_carpet_001.footstep_carpet_001"",""/Game/SFX/Character/0_FootStep/footstep_carpet_002.footstep_carpet_002"",""/Game/SFX/Character/0_FootStep/footstep_carpet_003.footstep_carpet_003"",""/Game/SFX/Character/0_FootStep/footstep_carpet_004.footstep_carpet_004"")",None,/Game/SFX/Character/22_Writer/Writer_SummonSound.Writer_SummonSound
8,Hornet,/Game/SFX/Character/10_Hornet/Hornet_intro.Hornet_intro,"(""/Game/SFX/Character/10_Hornet/Hornet_shout_001.Hornet_shout_001"",""/Game/SFX/Character/10_Hornet/Hornet_shout_002.Hornet_shout_002"")",/Game/SFX/Character/10_Hornet/Hornet_skill1.Hornet_skill1,/Game/SFX/Character/10_Hornet/Hornet_skill2.Hornet_skill2,/Game/SFX/Character/10_Hornet/Hornet_heal.Hornet_heal,"(""/Game/SFX/Character/10_Hornet/Hornet_hit_001.Hornet_hit_001"",""/Game/SFX/Character/10_Hornet/Hornet_hit_002.Hornet_hit_002"",""/Game/SFX/Character/10_Hornet/Hornet_hit_003.Hornet_hit_003"")",/Game/SFX/Character/10_Hornet/Hornet_death.Hornet_death,/Game/SFX/Character/10_Hornet/Hornet_lowhp.Hornet_lowhp,/Game/SFX/Character/10_Hornet/Hornet_win_2.Hornet_win_2,/Game/SFX/Character/10_Hornet/Hornet_defeat.Hornet_defeat,,None,/Game/SFX/Character/22_Writer/Writer_SummonSound.Writer_SummonSound
9,Looter,/Game/SFX/Character/11_Looter/Looter_intro.Looter_intro,"(""/Game/SFX/Character/11_Looter/Looter_shout_001.Looter_shout_001"",""/Game/SFX/Character/11_Looter/Looter_shout_002.Looter_shout_002"")",/Game/SFX/Character/11_Looter/Looter_skill1.Looter_skill1,/Game/SFX/Character/11_Looter/Looter_skill2.Looter_skill2,/Game/SFX/Character/11_Looter/Looter_heal.Looter_heal,"(""/Game/SFX/Character/11_Looter/Looter_hit_001.Looter_hit_001"",""/Game/SFX/Character/11_Looter/Looter_hit_002.Looter_hit_002"",""/Game/SFX/Character/11_Looter/Looter_hit_003.Looter_hit_003"")",/Game/SFX/Character/11_Looter/Looter_death.Looter_death,/Game/SFX/Character/11_Looter/Looter_lowhp.Looter_lowhp,/Game/SFX/Character/11_Looter/Looter_win_2.Looter_win_2,/Game/SFX/Character/11_Looter/Looter_defeat.Looter_defeat,"(""/Game/SFX/Character/0_FootStep/footstep_carpet_000.footstep_carpet_000"",""/Game/SFX/Character/0_FootStep/footstep_carpet_001.footstep_carpet_001"",""/Game/SFX/Character/0_FootStep/footstep_carpet_002.footstep_carpet_002"",""/Game/SFX/Character/0_FootStep/footstep_carpet_003.footstep_carpet_003"",""/Game/SFX/Character/0_FootStep/footstep_carpet_004.footstep_carpet_004"")",None,/Game/SFX/Character/22_Writer/Writer_SummonSound.Writer_SummonSound
10,Maid,/Game/SFX/Character/12_Maid/Maid_intro.Maid_intro,"(""/Game/SFX/Character/12_Maid/Maid_shout_001.Maid_shout_001"",""/Game/SFX/Character/12_Maid/Maid_shout_002.Maid_shout_002"")",/Game/SFX/Character/12_Maid/Maid_skill1.Maid_skill1,/Game/SFX/Character/12_Maid/Maid_skill2.Maid_skill2,/Game/SFX/Character/12_Maid/Maid_heal.Maid_heal,"(""/Game/SFX/Character/12_Maid/Maid_hit_001.Maid_hit_001"",""/Game/SFX/Character/12_Maid/Maid_hit_002.Maid_hit_002"",""/Game/SFX/Character/12_Maid/Maid_hit_003.Maid_hit_003"")",/Game/SFX/Character/12_Maid/Maid_death.Maid_death,/Game/SFX/Character/12_Maid/Maid_lowhp.Maid_lowhp,/Game/SFX/Character/12_Maid/Maid_win_3.Maid_win_3,/Game/SFX/Character/12_Maid/Maid_defeat.Maid_defeat,"(""/Game/SFX/Character/0_FootStep/footstep_carpet_000.footstep_carpet_000"",""/Game/SFX/Character/0_FootStep/footstep_carpet_001.footstep_carpet_001"",""/Game/SFX/Character/0_FootStep/footstep_carpet_002.footstep_carpet_002"",""/Game/SFX/Character/0_FootStep/footstep_carpet_003.footstep_carpet_003"",""/Game/SFX/Character/0_FootStep/footstep_carpet_004.footstep_carpet_004"")",None,/Game/SFX/Character/22_Writer/Writer_SummonSound.Writer_SummonSound
