---,DataID,CharacterName,Description,Grade,AttackType,ClassType,HPMultiplier,AttackMultiplier,DefenseMultiplier,CharacterTexture,SkillIDs,CharacterMesh,AnimBlueprintClass,DeathMontage,NormalAttackMontage,BehaviorTree,SummonCost,SummonCooldown,PortraitIcon,MemberAbilities,PlayerBasicAttackAbility,HitMontage,PlayerScale,MemberScale,MemberWeaponID,PortraitFrame
1,Anubis_N,Anubis,"NSLOCTEXT(""DT"", ""Anubis_N"", ""?꾨늻鍮꾩뒪 N?깃툒"")",N,RANGED,ARCHER,1,1,1,/Game/Assets/BlackStromAsset/UI/Character/AvatarThumb/Icon_Anubis.Icon_Anubis,"(""SKILL_ICEBALL"")",/Game/Assets/BlackStromAsset/3DModels/Player/Anubis/SKM_Anubis_Base.SKM_Anubis_Base,/Game/Blueprint/PlayerCharacter/ABP/01_Anubis/ABP_Anubis.ABP_Anubis_C,/Game/Blueprint/PlayerCharacter/ABP/01_Anubis/Anubis_Base_Dead_Montage.Anubis_Base_Dead_Montage,/Game/Blueprint/PlayerCharacter/ABP/01_Anubis/Anubis_Base_Attack1_Montage.Anubis_Base_Attack1_Montage,/Script/AIModule.BehaviorTree'/Game/AI/BT_Member_Basic.BT_Member_Basic',5,5,/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Anubis.Icon_Anubis,"(""/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Anubis.GA_Attack_Anubis_C'"")",/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Anubis.GA_Attack_Anubis_C',/Game/Blueprint/PlayerCharacter/ABP/01_Anubis/Anubis_Base_Damage_Anim_Anubis_Base_Damage1_Montage.Anubis_Base_Damage_Anim_Anubis_Base_Damage1_Montage,"(X=1.000000,Y=1.000000,Z=1.000000)","(X=0.700000,Y=0.700000,Z=0.700000)",EQUIP_HELMET_08,/Game/Assets/BlackStromAsset/UI/Icon/Icon_ProfileFrame/Icon_10Lv_Frame.Icon_10Lv_Frame
2,Anubis_R,Anubis,"NSLOCTEXT(""DT"", ""Anubis_R"", ""?꾨늻鍮꾩뒪 R?깃툒"")",R,RANGED,ARCHER,1.4,1.4,1.4,/Game/Assets/BlackStromAsset/UI/Character/AvatarThumb/Icon_Anubis.Icon_Anubis,"(""SKILL_ICEBALL"")",/Game/Assets/BlackStromAsset/3DModels/Player/Anubis/SKM_Anubis_Base.SKM_Anubis_Base,/Game/Blueprint/PlayerCharacter/ABP/01_Anubis/ABP_Anubis.ABP_Anubis_C,/Game/Blueprint/PlayerCharacter/ABP/01_Anubis/Anubis_Base_Dead_Montage.Anubis_Base_Dead_Montage,/Game/Blueprint/PlayerCharacter/ABP/01_Anubis/Anubis_Base_Attack1_Montage.Anubis_Base_Attack1_Montage,/Script/AIModule.BehaviorTree'/Game/AI/BT_Member_Basic.BT_Member_Basic',6,7,/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Anubis.Icon_Anubis,"(""/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Anubis.GA_Attack_Anubis_C'"")",/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Anubis.GA_Attack_Anubis_C',/Game/Blueprint/PlayerCharacter/ABP/01_Anubis/Anubis_Base_Damage_Anim_Anubis_Base_Damage1_Montage.Anubis_Base_Damage_Anim_Anubis_Base_Damage1_Montage,"(X=1.000000,Y=1.000000,Z=1.000000)","(X=0.700000,Y=0.700000,Z=0.700000)",EQUIP_HELMET_08,/Game/Assets/BlackStromAsset/UI/Icon/Icon_ProfileFrame/Icon_20Lv_Frame.Icon_20Lv_Frame
3,Anubis_SR,Anubis,"NSLOCTEXT(""DT"", ""Anubis_SR"", ""?꾨늻鍮꾩뒪 SR?깃툒"")",SR,RANGED,ARCHER,2.1,2.1,2.1,/Game/Assets/BlackStromAsset/UI/Character/AvatarThumb/Icon_Anubis.Icon_Anubis,"(""SKILL_ICEBALL"")",/Game/Assets/BlackStromAsset/3DModels/Player/Anubis/SKM_Anubis_Base.SKM_Anubis_Base,/Game/Blueprint/PlayerCharacter/ABP/01_Anubis/ABP_Anubis.ABP_Anubis_C,/Game/Blueprint/PlayerCharacter/ABP/01_Anubis/Anubis_Base_Dead_Montage.Anubis_Base_Dead_Montage,/Game/Blueprint/PlayerCharacter/ABP/01_Anubis/Anubis_Base_Attack1_Montage.Anubis_Base_Attack1_Montage,/Script/AIModule.BehaviorTree'/Game/AI/BT_Member_Basic.BT_Member_Basic',8,9,/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Anubis.Icon_Anubis,"(""/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Anubis.GA_Attack_Anubis_C'"")",/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Anubis.GA_Attack_Anubis_C',/Game/Blueprint/PlayerCharacter/ABP/01_Anubis/Anubis_Base_Damage_Anim_Anubis_Base_Damage1_Montage.Anubis_Base_Damage_Anim_Anubis_Base_Damage1_Montage,"(X=1.000000,Y=1.000000,Z=1.000000)","(X=0.700000,Y=0.700000,Z=0.700000)",EQUIP_HELMET_08,/Game/Assets/BlackStromAsset/UI/Icon/Icon_ProfileFrame/Icon_30Lv_Frame.Icon_30Lv_Frame
4,Anubis_SSR,Anubis,"NSLOCTEXT(""DT"", ""Anubis_SSR"", ""?꾨늻鍮꾩뒪 SSR?깃툒"")",SSR,RANGED,ARCHER,3.2,3.2,3.2,/Game/Assets/BlackStromAsset/UI/Character/AvatarThumb/Icon_Anubis.Icon_Anubis,"(""SKILL_ICEBALL"")",/Game/Assets/BlackStromAsset/3DModels/Player/Anubis/SKM_Anubis_Base.SKM_Anubis_Base,/Game/Blueprint/PlayerCharacter/ABP/01_Anubis/ABP_Anubis.ABP_Anubis_C,/Game/Blueprint/PlayerCharacter/ABP/01_Anubis/Anubis_Base_Dead_Montage.Anubis_Base_Dead_Montage,/Game/Blueprint/PlayerCharacter/ABP/01_Anubis/Anubis_Base_Attack1_Montage.Anubis_Base_Attack1_Montage,/Script/AIModule.BehaviorTree'/Game/AI/BT_Member_Basic.BT_Member_Basic',12,12,/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Anubis.Icon_Anubis,"(""/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Anubis.GA_Attack_Anubis_C'"")",/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Anubis.GA_Attack_Anubis_C',/Game/Blueprint/PlayerCharacter/ABP/01_Anubis/Anubis_Base_Damage_Anim_Anubis_Base_Damage1_Montage.Anubis_Base_Damage_Anim_Anubis_Base_Damage1_Montage,"(X=1.000000,Y=1.000000,Z=1.000000)","(X=0.700000,Y=0.700000,Z=0.700000)",EQUIP_HELMET_08,/Game/Assets/BlackStromAsset/UI/Icon/Icon_ProfileFrame/Icon_50Lv_Frame.Icon_50Lv_Frame
5,Army_N,Army,"NSLOCTEXT(""DT"", ""Army_N"", ""?꾨? N?깃툒"")",N,MELEE,WARRIOR,1.3,0.8,1.3,/Game/Assets/BlackStromAsset/UI/Character/AvatarThumb/Icon_Army.Icon_Army,"(""SKILL_ICEBALL"")",/Game/Assets/BlackStromAsset/3DModels/Player/Army/SKM_Army_Base.SKM_Army_Base,/Game/Blueprint/PlayerCharacter/ABP/02_Army/ABP_Army.ABP_Army_C,/Game/Blueprint/PlayerCharacter/ABP/02_Army/Army_Base_Dead_Montage.Army_Base_Dead_Montage,/Game/Blueprint/PlayerCharacter/ABP/02_Army/Army_Base_Attack_Montage.Army_Base_Attack_Montage,/Script/AIModule.BehaviorTree'/Game/AI/BT_Member_Basic.BT_Member_Basic',5,5,/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Army.Icon_Army,"(""/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Army.GA_Attack_Army_C'"")",/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Army.GA_Attack_Army_C',/Game/Blueprint/PlayerCharacter/ABP/02_Army/Army_Base_Damage_Montage.Army_Base_Damage_Montage,"(X=3.200000,Y=3.200000,Z=3.200000)","(X=2.200000,Y=2.200000,Z=2.200000)",EQUIP_HELMET_08,/Game/Assets/BlackStromAsset/UI/Icon/Icon_ProfileFrame/Icon_10Lv_Frame.Icon_10Lv_Frame
6,Army_R,Army,"NSLOCTEXT(""DT"", ""Army_R"", ""?꾨? R?깃툒"")",R,MELEE,WARRIOR,1.8,1.1,1.8,/Game/Assets/BlackStromAsset/UI/Character/AvatarThumb/Icon_Army.Icon_Army,"(""SKILL_ICEBALL"")",/Game/Assets/BlackStromAsset/3DModels/Player/Army/SKM_Army_Base.SKM_Army_Base,/Game/Blueprint/PlayerCharacter/ABP/02_Army/ABP_Army.ABP_Army_C,/Game/Blueprint/PlayerCharacter/ABP/02_Army/Army_Base_Dead_Montage.Army_Base_Dead_Montage,/Game/Blueprint/PlayerCharacter/ABP/02_Army/Army_Base_Attack_Montage.Army_Base_Attack_Montage,/Script/AIModule.BehaviorTree'/Game/AI/BT_Member_Basic.BT_Member_Basic',6,7,/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Army.Icon_Army,"(""/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Army.GA_Attack_Army_C'"")",/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Army.GA_Attack_Army_C',/Game/Blueprint/PlayerCharacter/ABP/02_Army/Army_Base_Damage_Montage.Army_Base_Damage_Montage,"(X=3.200000,Y=3.200000,Z=3.200000)","(X=2.200000,Y=2.200000,Z=2.200000)",EQUIP_HELMET_08,/Game/Assets/BlackStromAsset/UI/Icon/Icon_ProfileFrame/Icon_20Lv_Frame.Icon_20Lv_Frame
7,Army_SR,Army,"NSLOCTEXT(""DT"", ""Army_SR"", ""?꾨? SR?깃툒"")",SR,MELEE,WARRIOR,2.7,1.6,2.7,/Game/Assets/BlackStromAsset/UI/Character/AvatarThumb/Icon_Army.Icon_Army,"(""SKILL_ICEBALL"")",/Game/Assets/BlackStromAsset/3DModels/Player/Army/SKM_Army_Base.SKM_Army_Base,/Game/Blueprint/PlayerCharacter/ABP/02_Army/ABP_Army.ABP_Army_C,/Game/Blueprint/PlayerCharacter/ABP/02_Army/Army_Base_Dead_Montage.Army_Base_Dead_Montage,/Game/Blueprint/PlayerCharacter/ABP/02_Army/Army_Base_Attack_Montage.Army_Base_Attack_Montage,/Script/AIModule.BehaviorTree'/Game/AI/BT_Member_Basic.BT_Member_Basic',8,9,/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Army.Icon_Army,"(""/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Army.GA_Attack_Army_C'"")",/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Army.GA_Attack_Army_C',/Game/Blueprint/PlayerCharacter/ABP/02_Army/Army_Base_Damage_Montage.Army_Base_Damage_Montage,"(X=3.200000,Y=3.200000,Z=3.200000)","(X=2.200000,Y=2.200000,Z=2.200000)",EQUIP_HELMET_08,/Game/Assets/BlackStromAsset/UI/Icon/Icon_ProfileFrame/Icon_30Lv_Frame.Icon_30Lv_Frame
8,Army_SSR,Army,"NSLOCTEXT(""DT"", ""Army_SSR"", ""?꾨? SSR?깃툒"")",SSR,MELEE,WARRIOR,4.1,2.5,4.1,/Game/Assets/BlackStromAsset/UI/Character/AvatarThumb/Icon_Army.Icon_Army,"(""SKILL_ICEBALL"")",/Game/Assets/BlackStromAsset/3DModels/Player/Army/SKM_Army_Base.SKM_Army_Base,/Game/Blueprint/PlayerCharacter/ABP/02_Army/ABP_Army.ABP_Army_C,/Game/Blueprint/PlayerCharacter/ABP/02_Army/Army_Base_Dead_Montage.Army_Base_Dead_Montage,/Game/Blueprint/PlayerCharacter/ABP/02_Army/Army_Base_Attack_Montage.Army_Base_Attack_Montage,/Script/AIModule.BehaviorTree'/Game/AI/BT_Member_Basic.BT_Member_Basic',12,12,/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Army.Icon_Army,"(""/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Army.GA_Attack_Army_C'"")",/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Army.GA_Attack_Army_C',/Game/Blueprint/PlayerCharacter/ABP/02_Army/Army_Base_Damage_Montage.Army_Base_Damage_Montage,"(X=3.200000,Y=3.200000,Z=3.200000)","(X=2.200000,Y=2.200000,Z=2.200000)",EQUIP_HELMET_08,/Game/Assets/BlackStromAsset/UI/Icon/Icon_ProfileFrame/Icon_50Lv_Frame.Icon_50Lv_Frame
9,Binder_N,Binder,"NSLOCTEXT(""DT"", ""Binder_N"", ""諛붿씤??N?깃툒"")",N,MELEE,WARRIOR,1.3,0.8,1.3,/Game/Assets/BlackStromAsset/UI/Character/AvatarThumb/Icon_Binder.Icon_Binder,"(""SKILL_ICEBALL"")",/Game/Assets/BlackStromAsset/3DModels/Player/Binder/SKM_Binder_Base.SKM_Binder_Base,/Game/Blueprint/PlayerCharacter/ABP/04_Binder/ABP_Binder.ABP_Binder_C,/Game/Blueprint/PlayerCharacter/ABP/04_Binder/Binder_Base_Dead_Montage.Binder_Base_Dead_Montage,/Game/Blueprint/PlayerCharacter/ABP/04_Binder/Binder_Base_Attack_Montage.Binder_Base_Attack_Montage,/Script/AIModule.BehaviorTree'/Game/AI/BT_Member_Basic.BT_Member_Basic',5,5,/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Binder.Icon_Binder,"(""/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Binder.GA_Attack_Binder_C'"")",/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Binder.GA_Attack_Binder_C',/Game/Blueprint/PlayerCharacter/ABP/04_Binder/Binder_Base_Demage_Montage.Binder_Base_Demage_Montage,"(X=3.200000,Y=3.200000,Z=3.200000)","(X=2.200000,Y=2.200000,Z=2.200000)",EQUIP_HELMET_08,/Game/Assets/BlackStromAsset/UI/Icon/Icon_ProfileFrame/Icon_10Lv_Frame.Icon_10Lv_Frame
10,Binder_R,Binder,"NSLOCTEXT(""DT"", ""Binder_R"", ""諛붿씤??R?깃툒"")",R,MELEE,WARRIOR,1.8,1.1,1.8,/Game/Assets/BlackStromAsset/UI/Character/AvatarThumb/Icon_Binder.Icon_Binder,"(""SKILL_ICEBALL"")",/Game/Assets/BlackStromAsset/3DModels/Player/Binder/SKM_Binder_Base.SKM_Binder_Base,/Game/Blueprint/PlayerCharacter/ABP/04_Binder/ABP_Binder.ABP_Binder_C,/Game/Blueprint/PlayerCharacter/ABP/04_Binder/Binder_Base_Dead_Montage.Binder_Base_Dead_Montage,/Game/Blueprint/PlayerCharacter/ABP/04_Binder/Binder_Base_Attack_Montage.Binder_Base_Attack_Montage,/Script/AIModule.BehaviorTree'/Game/AI/BT_Member_Basic.BT_Member_Basic',6,7,/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Binder.Icon_Binder,"(""/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Binder.GA_Attack_Binder_C'"")",/Script/Engine.BlueprintGeneratedClass'/Game/GAS/GA/Char_BasicAttack/GA_Attack_Binder.GA_Attack_Binder_C',/Game/Blueprint/PlayerCharacter/ABP/04_Binder/Binder_Base_Demage_Montage.Binder_Base_Demage_Montage,"(X=3.200000,Y=3.200000,Z=3.200000)","(X=2.200000,Y=2.200000,Z=2.200000)",EQUIP_HELMET_08,/Game/Assets/BlackStromAsset/UI/Icon/Icon_ProfileFrame/Icon_20Lv_Frame.Icon_20Lv_Frame
