Name,ItemID,ItemType,BackgroundTexture,RevealTexture,bUseVideo,RevealVideoSource
HeroReveal_001,CHAR_MAGICIAN_36,Hero,Texture2D'/Game/Test/PYI/Gacha/Textures/T_BG_GachaReveal_Common.T_BG_GachaReveal_Common',Texture2D'/Game/Test/PYI/Gacha/Textures/T_GachaReveal_CHAR_MAGICIAN_36.T_GachaReveal_CHAR_MAGICIAN_36',FALSE,
HeroReveal_002,CHAR_ARCHER_16,Hero,Texture2D'/Game/Test/PYI/Gacha/Textures/T_BG_GachaReveal_Common.T_BG_GachaReveal_Common',Texture2D'/Game/Test/PYI/Gacha/Textures/T_GachaReveal_CHAR_ARCHER_16.T_GachaReveal_CHAR_ARCHER_16',FALSE,
HeroReveal_003,CHAR_MAGICIAN_29,Hero,Texture2D'/Game/Test/PYI/Gacha/Textures/T_BG_GachaReveal_Common.T_BG_GachaReveal_Common',Texture2D'/Game/Test/PYI/Gacha/Textures/T_GachaReveal_CHAR_MAGICIAN_29.T_GachaReveal_CHAR_MAGICIAN_29',FALSE,
HeroReveal_004,CHAR_WARRIOR_50,Hero,Texture2D'/Game/Test/PYI/Gacha/Textures/T_BG_GachaReveal_Common.T_BG_GachaReveal_Common',Texture2D'/Game/Test/PYI/Gacha/Textures/T_GachaReveal_CHAR_WARRIOR_50.T_GachaReveal_CHAR_WARRIOR_50',FALSE,
HeroReveal_005,CHAR_ARCHER_31,Hero,Texture2D'/Game/Test/PYI/Gacha/Textures/T_BG_GachaReveal_Rare.T_BG_GachaReveal_Rare',Texture2D'/Game/Test/PYI/Gacha/Textures/T_GachaReveal_CHAR_ARCHER_31.T_GachaReveal_CHAR_ARCHER_31',FALSE,
HeroReveal_006,CHAR_MAGICIAN_48,Hero,Texture2D'/Game/Test/PYI/Gacha/Textures/T_BG_GachaReveal_Legend.T_BG_GachaReveal_Legend',Texture2D'/Game/Test/PYI/Gacha/Textures/T_GachaReveal_CHAR_MAGICIAN_48.T_GachaReveal_CHAR_MAGICIAN_48',FALSE,
EquipReveal_007,EQUIP_RANGED_02,Equipment,Texture2D'/Game/Test/PYI/Gacha/Textures/T_BG_GachaReveal_Common.T_BG_GachaReveal_Common',Texture2D'/Game/Test/PYI/Gacha/Textures/T_GachaReveal_EQUIP_RANGED_02.T_GachaReveal_EQUIP_RANGED_02',FALSE,
EquipReveal_008,EQUIP_HELMET_32,Equipment,Texture2D'/Game/Test/PYI/Gacha/Textures/T_BG_GachaReveal_Legend.T_BG_GachaReveal_Legend',Texture2D'/Game/Test/PYI/Gacha/Textures/T_GachaReveal_EQUIP_HELMET_32.T_GachaReveal_EQUIP_HELMET_32',FALSE,
EquipReveal_009,EQUIP_MELEE_49,Equipment,Texture2D'/Game/Test/PYI/Gacha/Textures/T_BG_GachaReveal_Rare.T_BG_GachaReveal_Rare',Texture2D'/Game/Test/PYI/Gacha/Textures/T_GachaReveal_EQUIP_MELEE_49.T_GachaReveal_EQUIP_MELEE_49',FALSE,
EquipReveal_010,EQUIP_HELMET_43,Equipment,Texture2D'/Game/Test/PYI/Gacha/Textures/T_BG_GachaReveal_Legend.T_BG_GachaReveal_Legend',Texture2D'/Game/Test/PYI/Gacha/Textures/T_GachaReveal_EQUIP_HELMET_43.T_GachaReveal_EQUIP_HELMET_43',FALSE,
