---,DataID,BaseHPBonus,HPBonusPerLevel,BaseAttackBonus,AttackBonusPerLevel,BaseDefenseBonus,DefenseBonusPerLevel
1,EQUIP_BLUNT_01,21,33,33,42,17,30
2,EQUIP_BLUNT_02,17,26,27,33,14,23
3,EQUIP_BLUNT_03,14,20,22,26,11,17
4,EQUIP_BLUNT_04,12,15,18,20,9,12
5,EQUIP_BLUNT_05,10,10,15,15,8,8
6,EQUIP_BLUNT_06,14,20,22,26,11,17
7,EQUIP_BLUNT_07,17,26,27,33,14,23
8,EQUIP_BLUNT_08,12,15,18,20,9,12
9,EQUIP_BLUNT_09,21,33,33,42,17,30
10,EQUIP_BLUNT_10,12,15,18,20,9,12
11,EQUIP_BLUNT_11,10,10,15,15,8,8
12,EQUIP_ETC_01,17,26,27,33,14,23
13,EQUIP_ETC_02,10,10,15,15,8,8
14,EQUIP_STAFF_01,10,10,15,15,8,8
15,EQUIP_STAFF_02,10,10,15,15,8,8
16,EQUIP_STAFF_03,10,10,15,15,8,8
17,EQUIP_STAFF_04,10,10,15,15,8,8
18,EQUIP_STAFF_05,14,20,22,26,11,17
19,EQUIP_STAFF_06,17,26,27,33,14,23
20,EQUIP_STAFF_07,10,10,15,15,8,8
21,EQUIP_STAFF_08,10,10,15,15,8,8
22,EQUIP_STAFF_09,21,33,33,42,17,30
23,EQUIP_STAFF_10,10,10,15,15,8,8
24,EQUIP_STAFF_11,14,20,22,26,11,17
25,EQUIP_STAFF_12,17,26,27,33,14,23
26,EQUIP_SWORD_01,10,10,15,15,8,8
27,EQUIP_SWORD_02,12,15,18,20,9,12
28,EQUIP_SWORD_03,17,26,27,33,14,23
29,EQUIP_SWORD_04,10,10,15,15,8,8
30,EQUIP_SWORD_05,10,10,15,15,8,8
31,EQUIP_SWORD_06,21,33,33,42,17,30
32,EQUIP_SWORD_07,12,15,18,20,9,12
33,EQUIP_SWORD_08,10,10,15,15,8,8
34,EQUIP_SWORD_09,10,10,15,15,8,8
35,EQUIP_SWORD_10,17,26,27,33,14,23
