---,DataID,EquipmentName,Description,EquipmentMesh,Grade,ItemType,SetType,EquipmentTexture,SkillIDs
1,EQUIP_BLUNT_01,Cleaner,"NSLOCTEXT(""DT_EquipmentStaticData [9A3CEC86453224E579423DA5C7C92179]"", ""1_Description"", ""Common gear infused with moonlight"")",/Game/Assets/Mixed_Magic_VFX_Pack/Static_Meshes/SM_5.SM_5,SSR,MELEE,FIRE,/Game/Assets/BlackStromAsset/UI/Icon/Icon_Basics/Icon_WeaponRandomTicket_UR.Icon_WeaponRandomTicket_UR,"(""SKILL_ARROW"")"
2,EQUIP_BLUNT_02,DefaultBlunt,"NSLOCTEXT(""DT_EquipmentStaticData [9A3CEC86453224E579423DA5C7C92179]"", ""2_Description"", ""Epic gear infused with moonlight"")",/Game/Assets/Mixed_Magic_VFX_Pack/Static_Meshes/SM_8.SM_8,SSR,MELEE,FIRE,/Game/Assets/BlackStromAsset/UI/Icon/Icon_Basics/Icon_WeaponSelectTicket_SSR.Icon_WeaponSelectTicket_SSR,"(""SKILL_FIREBALL"")"
3,EQUIP_BLUNT_03,Devilbat,"NSLOCTEXT(""DT_EquipmentStaticData [9A3CEC86453224E579423DA5C7C92179]"", ""3_Description"", ""Common gear infused with moonlight"")",/Game/Assets/Mixed_Magic_VFX_Pack/Static_Meshes/SM_7.SM_7,SR,MELEE,ELECTRIC,/Game/Assets/BlackStromAsset/UI/Icon/Icon_Basics/Icon_WeaponRandomTicket_SR.Icon_WeaponRandomTicket_SR,"(""SKILL_LIGHTNING"")"
4,EQUIP_BLUNT_04,EventBlunt,"NSLOCTEXT(""DT_EquipmentStaticData [9A3CEC86453224E579423DA5C7C92179]"", ""4_Description"", ""Common gear infused with moonlight"")",/Game/Assets/Mixed_Magic_VFX_Pack/Static_Meshes/SM_6.SM_6,R,MELEE,ICE,/Game/Assets/BlackStromAsset/UI/Icon/Icon_Basics/Icon_WeaponSelectTicket_R.Icon_WeaponSelectTicket_R,"(""SKILL_HOMING_ARROW"")"
5,EQUIP_BLUNT_05,Merry,"NSLOCTEXT(""DT_EquipmentStaticData [9A3CEC86453224E579423DA5C7C92179]"", ""5_Description"", ""Common gear infused with moonlight"")",/Game/Assets/BlackStromAsset/3DModels/Weapon/Blunt/Blunt_DefaultBlunt/SM_Blunt_DefaultBlunt.SM_Blunt_DefaultBlunt,N,MELEE,ELECTRIC,/Game/Assets/BlackStromAsset/UI/Icon/Icon_Basics/Icon_WeaponRandomTicket_N.Icon_WeaponRandomTicket_N,"(""SKILL_PIERCE"")"
6,EQUIP_BLUNT_06,Noble,"NSLOCTEXT(""DT_EquipmentStaticData [9A3CEC86453224E579423DA5C7C92179]"", ""6_Description"", ""Common gear infused with moonlight"")",/Game/Assets/Mixed_Magic_VFX_Pack/Static_Meshes/SM_6.SM_6,SR,MELEE,ELECTRIC,/Game/Assets/BlackStromAsset/UI/Icon/Icon_Basics/Icon_WeaponRandomTicket_SR.Icon_WeaponRandomTicket_SR,"(""SKILL_ARROW"")"
7,EQUIP_BLUNT_07,Nurse,"NSLOCTEXT(""DT_EquipmentStaticData [9A3CEC86453224E579423DA5C7C92179]"", ""7_Description"", ""Common gear infused with moonlight"")",/Game/Assets/Mixed_Magic_VFX_Pack/Static_Meshes/SM_7.SM_7,SSR,MELEE,FIRE,/Game/Assets/BlackStromAsset/UI/Icon/Icon_Basics/Icon_WeaponSelectTicket_SSR.Icon_WeaponSelectTicket_SSR,"(""SKILL_FIREBALL"")"
8,EQUIP_BLUNT_08,Outsider,"NSLOCTEXT(""DT_EquipmentStaticData [9A3CEC86453224E579423DA5C7C92179]"", ""8_Description"", ""Common gear infused with moonlight"")",/Game/Assets/Mixed_Magic_VFX_Pack/Static_Meshes/SM_8.SM_8,R,MELEE,ICE,/Game/Assets/BlackStromAsset/UI/Icon/Icon_Basics/Icon_WeaponSelectTicket_R.Icon_WeaponSelectTicket_R,"(""SKILL_LIGHTNING"")"
9,EQUIP_BLUNT_09,TreasureChest,"NSLOCTEXT(""DT_EquipmentStaticData [9A3CEC86453224E579423DA5C7C92179]"", ""9_Description"", ""Common gear infused with moonlight"")",/Game/Assets/BlackStromAsset/3DModels/Weapon/Blunt/Blunt_Merry/SM_Blunt_Merry.SM_Blunt_Merry,UR,MELEE,FIRE,/Game/Assets/BlackStromAsset/UI/Icon/Icon_Basics/Icon_WeaponRandomTicket_UR.Icon_WeaponRandomTicket_UR,"(""SKILL_ICEBALL"")"
10,EQUIP_BLUNT_10,Tuner,"NSLOCTEXT(""DT_EquipmentStaticData [9A3CEC86453224E579423DA5C7C92179]"", ""10_Description"", ""Common gear infused with moonlight"")",/Game/Assets/BlackStromAsset/3DModels/Weapon/Blunt/Blunt_Wrench/SM_Blunt_Wrench.SM_Blunt_Wrench,R,MELEE,ICE,/Game/Assets/BlackStromAsset/UI/Icon/Icon_Basics/Icon_WeaponSelectTicket_R.Icon_WeaponSelectTicket_R,"(""SKILL_HOMING_ARROW"")"
