---,BannerID,ItemType,ItemID,Rarity
1,Hero_Crescent,Hero,Anubis_N,N
2,Hero_Crescent,Hero,Anubis_R,R
3,Hero_Crescent,Hero,Anubis_SR,SR
4,Hero_Crescent,Hero,Anubis_SSR,SSR
5,Hero_Crescent,Hero,Army_N,N
6,Hero_Crescent,Hero,Army_R,R
7,Hero_Crescent,Hero,Army_SR,SR
8,Hero_Crescent,Hero,Army_SSR,SSR
9,Hero_Crescent,Hero,Binder_N,N
10,Hero_Crescent,Hero,Binder_R,R
11,Hero_Crescent,Hero,Binder_SR,SR
12,Hero_Crescent,Hero,Binder_SSR,SSR
13,Hero_Crescent,Hero,Demonia_N,N
14,Hero_Crescent,Hero,Demonia_R,R
15,Hero_Crescent,Hero,Demonia_SR,SR
16,Hero_Crescent,Hero,Demonia_SSR,SSR
17,Hero_Crescent,Hero,Enchanter_N,N
18,Hero_Crescent,Hero,Enchanter_R,R
19,Hero_Crescent,Hero,Enchanter_SR,SR
20,Hero_Crescent,Hero,Enchanter_SSR,SSR
21,Hero_Crescent,Hero,Guard_N,N
22,Hero_Crescent,Hero,Guard_R,R
23,Hero_Crescent,Hero,Guard_SR,SR
24,Hero_Crescent,Hero,Guard_SSR,SSR
25,Hero_Crescent,Hero,Hermit_N,N
26,Hero_Crescent,Hero,Hermit_R,R
27,Hero_Crescent,Hero,Hermit_SR,SR
28,Hero_Crescent,Hero,Hermit_SSR,SSR
29,Hero_Crescent,Hero,Hornet_N,N
30,Hero_Crescent,Hero,Hornet_R,R
31,Hero_Crescent,Hero,Hornet_SR,SR
32,Hero_Crescent,Hero,Hornet_SSR,SSR
33,Hero_Crescent,Hero,Looter_N,N
34,Hero_Crescent,Hero,Looter_R,R
35,Hero_Crescent,Hero,Looter_SR,SR
36,Hero_Crescent,Hero,Looter_SSR,SSR
37,Hero_Crescent,Hero,Maid_N,N
38,Hero_Crescent,Hero,Maid_R,R
39,Hero_Crescent,Hero,Maid_SR,SR
40,Hero_Crescent,Hero,Maid_SSR,SSR
41,Hero_Crescent,Hero,Merry_N,N
42,Hero_Crescent,Hero,Merry_R,R
43,Hero_Crescent,Hero,Merry_SR,SR
44,Hero_Crescent,Hero,Merry_SSR,SSR
45,Hero_Crescent,Hero,Muzzle_UR,UR
46,Hero_Crescent,Hero,Noble_N,N
47,Hero_Crescent,Hero,Noble_R,R
48,Hero_Crescent,Hero,Noble_SR,SR
49,Hero_Crescent,Hero,Noble_SSR,SSR
50,Hero_Crescent,Hero,Nurse_UR,UR
51,Hero_Crescent,Hero,Outsider_N,N
52,Hero_Crescent,Hero,Outsider_R,R
53,Hero_Crescent,Hero,Outsider_SR,SR
54,Hero_Crescent,Hero,Outsider_SSR,SSR
55,Hero_Crescent,Hero,Pioneer_N,N
56,Hero_Crescent,Hero,Pioneer_R,R
57,Hero_Crescent,Hero,Pioneer_SR,SR
