---,BannerID,ItemType,Rarity,Rate
Hero_Crescent_N,"Hero_Crescent","Hero","N","78.000000"
Hero_Crescent_R,"Hero_Crescent","Hero","R","19.000000"
Hero_Crescent_SR,"Hero_Crescent","Hero","SR","2.500000"
Hero_Crescent_SSR,"Hero_Crescent","Hero","SSR","0.480000"
Hero_Crescent_UR,"Hero_Crescent","Hero","UR","0.020000"
Hero_FullMoon_N,"Hero_FullMoon","Hero","N","35.000000"
Hero_FullMoon_R,"Hero_FullMoon","Hero","R","30.000000"
Hero_FullMoon_SR,"Hero_FullMoon","Hero","SR","25.000000"
Hero_FullMoon_SSR,"Hero_FullMoon","Hero","SSR","9.500000"
Hero_FullMoon_UR,"Hero_FullMoon","Hero","UR","0.500000"
Equip_Crescent_N,"Equip_Crescent","Equipment","N","78.000000"
Equip_Crescent_R,"Equip_Crescent","Equipment","R","19.000000"
Equip_Crescent_SR,"Equip_Crescent","Equipment","SR","2.500000"
Equip_Crescent_SSR,"Equip_Crescent","Equipment","SSR","0.480000"
Equip_Crescent_UR,"Equip_Crescent","Equipment","UR","0.020000"
Equip_FullMoon_N,"Equip_FullMoon","Equipment","N","35.000000"
Equip_FullMoon_R,"Equip_FullMoon","Equipment","R","30.000000"
Equip_FullMoon_SR,"Equip_FullMoon","Equipment","SR","25.000000"
Equip_FullMoon_SSR,"Equip_FullMoon","Equipment","SSR","9.500000"
Equip_FullMoon_UR,"Equip_FullMoon","Equipment","UR","0.500000"
