---,RevealSFX,ColorRevealSFX,ItemID,ItemType,BackgroundTexture,RevealTexture,ResultSlotTexture,bUseVideo,RevealVideoSource
HeroReveal_001,"None","/Game/SFX/Gacha/Anubis_special.Anubis_special","Anubis_N","Hero","/Game/Test/PYI/Gacha/Reveal/Backgrounds/Anubis.Anubis","/Game/Test/PYI/Gacha/Reveal/Characters/Anubis.Anubis","/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Anubis.Icon_Anubis","False","None"
HeroReveal_002,"None","/Game/SFX/Gacha/Anubis_special.Anubis_special","Anubis_R","Hero","/Game/Test/PYI/Gacha/Reveal/Backgrounds/Anubis.Anubis","/Game/Test/PYI/Gacha/Reveal/Characters/Anubis.Anubis","/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Anubis.Icon_Anubis","False","None"
HeroReveal_003,"None","/Game/SFX/Gacha/Anubis_special.Anubis_special","Anubis_SR","Hero","/Game/Test/PYI/Gacha/Reveal/Backgrounds/Anubis.Anubis","/Game/Test/PYI/Gacha/Reveal/Characters/Anubis.Anubis","/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Anubis.Icon_Anubis","False","None"
HeroReveal_004,"None","/Game/SFX/Gacha/Anubis_special.Anubis_special","Anubis_SSR","Hero","/Game/Test/PYI/Gacha/Reveal/Backgrounds/Anubis.Anubis","/Game/Test/PYI/Gacha/Reveal/Characters/Anubis.Anubis","/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Anubis.Icon_Anubis","False","None"
HeroReveal_005,"None","/Game/SFX/Gacha/Army_special.Army_special","Army_N","Hero","/Game/Test/PYI/Gacha/Reveal/Backgrounds/Army.Army","/Game/Test/PYI/Gacha/Reveal/Characters/Army.Army","/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Army.Icon_Army","False","None"
HeroReveal_006,"None","/Game/SFX/Gacha/Army_special.Army_special","Army_R","Hero","/Game/Test/PYI/Gacha/Reveal/Backgrounds/Army.Army","/Game/Test/PYI/Gacha/Reveal/Characters/Army.Army","/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Army.Icon_Army","False","None"
HeroReveal_007,"None","/Game/SFX/Gacha/Army_special.Army_special","Army_SR","Hero","/Game/Test/PYI/Gacha/Reveal/Backgrounds/Army.Army","/Game/Test/PYI/Gacha/Reveal/Characters/Army.Army","/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Army.Icon_Army","False","None"
HeroReveal_008,"None","/Game/SFX/Gacha/Army_special.Army_special","Army_SSR","Hero","/Game/Test/PYI/Gacha/Reveal/Backgrounds/Army.Army","/Game/Test/PYI/Gacha/Reveal/Characters/Army.Army","/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Army.Icon_Army","False","None"
HeroReveal_009,"None","/Game/SFX/Gacha/Binder_special.Binder_special","Binder_N","Hero","/Game/Test/PYI/Gacha/Reveal/Backgrounds/Binder.Binder","/Game/Test/PYI/Gacha/Reveal/Characters/Binder.Binder","/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Binder.Icon_Binder","False","None"
HeroReveal_010,"None","/Game/SFX/Gacha/Binder_special.Binder_special","Binder_R","Hero","/Game/Test/PYI/Gacha/Reveal/Backgrounds/Binder.Binder","/Game/Test/PYI/Gacha/Reveal/Characters/Binder.Binder","/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Binder.Icon_Binder","False","None"
HeroReveal_011,"None","/Game/SFX/Gacha/Binder_special.Binder_special","Binder_SR","Hero","/Game/Test/PYI/Gacha/Reveal/Backgrounds/Binder.Binder","/Game/Test/PYI/Gacha/Reveal/Characters/Binder.Binder","/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Binder.Icon_Binder","False","None"
HeroReveal_012,"None","/Game/SFX/Gacha/Binder_special.Binder_special","Binder_SSR","Hero","/Game/Test/PYI/Gacha/Reveal/Backgrounds/Binder.Binder","/Game/Test/PYI/Gacha/Reveal/Characters/Binder.Binder","/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Binder.Icon_Binder","False","None"
HeroReveal_013,"None","/Game/SFX/Gacha/Demonia_special.Demonia_special","Demonia_N","Hero","/Game/Test/PYI/Gacha/Reveal/Backgrounds/Demonia.Demonia","/Game/Test/PYI/Gacha/Reveal/Characters/Demonia.Demonia","/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Demonia.Icon_Demonia","False","None"
HeroReveal_014,"None","/Game/SFX/Gacha/Demonia_special.Demonia_special","Demonia_R","Hero","/Game/Test/PYI/Gacha/Reveal/Backgrounds/Demonia.Demonia","/Game/Test/PYI/Gacha/Reveal/Characters/Demonia.Demonia","/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Demonia.Icon_Demonia","False","None"
HeroReveal_015,"None","/Game/SFX/Gacha/Demonia_special.Demonia_special","Demonia_SR","Hero","/Game/Test/PYI/Gacha/Reveal/Backgrounds/Demonia.Demonia","/Game/Test/PYI/Gacha/Reveal/Characters/Demonia.Demonia","/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Demonia.Icon_Demonia","False","None"
HeroReveal_016,"None","/Game/SFX/Gacha/Demonia_special.Demonia_special","Demonia_SSR","Hero","/Game/Test/PYI/Gacha/Reveal/Backgrounds/Demonia.Demonia","/Game/Test/PYI/Gacha/Reveal/Characters/Demonia.Demonia","/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Demonia.Icon_Demonia","False","None"
HeroReveal_017,"None","/Game/SFX/Gacha/Enchanter_special.Enchanter_special","Enchanter_N","Hero","/Game/Test/PYI/Gacha/Reveal/Backgrounds/Enchanter.Enchanter","/Game/Test/PYI/Gacha/Reveal/Characters/Enchanter.Enchanter","/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Enchanter.Icon_Enchanter","False","None"
HeroReveal_018,"None","/Game/SFX/Gacha/Enchanter_special.Enchanter_special","Enchanter_R","Hero","/Game/Test/PYI/Gacha/Reveal/Backgrounds/Enchanter.Enchanter","/Game/Test/PYI/Gacha/Reveal/Characters/Enchanter.Enchanter","/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Enchanter.Icon_Enchanter","False","None"
HeroReveal_019,"None","/Game/SFX/Gacha/Enchanter_special.Enchanter_special","Enchanter_SR","Hero","/Game/Test/PYI/Gacha/Reveal/Backgrounds/Enchanter.Enchanter","/Game/Test/PYI/Gacha/Reveal/Characters/Enchanter.Enchanter","/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Enchanter.Icon_Enchanter","False","None"
HeroReveal_020,"None","/Game/SFX/Gacha/Enchanter_special.Enchanter_special","Enchanter_SSR","Hero","/Game/Test/PYI/Gacha/Reveal/Backgrounds/Enchanter.Enchanter","/Game/Test/PYI/Gacha/Reveal/Characters/Enchanter.Enchanter","/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Enchanter.Icon_Enchanter","False","None"
HeroReveal_021,"None","/Game/SFX/Gacha/Guard_special.Guard_special","Guard_N","Hero","/Game/Test/PYI/Gacha/Reveal/Backgrounds/Guard.Guard","/Game/Test/PYI/Gacha/Reveal/Characters/Guard.Guard","/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Guard.Icon_Guard","False","None"
HeroReveal_022,"None","/Game/SFX/Gacha/Guard_special.Guard_special","Guard_R","Hero","/Game/Test/PYI/Gacha/Reveal/Backgrounds/Guard.Guard","/Game/Test/PYI/Gacha/Reveal/Characters/Guard.Guard","/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Guard.Icon_Guard","False","None"
HeroReveal_023,"None","/Game/SFX/Gacha/Guard_special.Guard_special","Guard_SR","Hero","/Game/Test/PYI/Gacha/Reveal/Backgrounds/Guard.Guard","/Game/Test/PYI/Gacha/Reveal/Characters/Guard.Guard","/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Guard.Icon_Guard","False","None"
HeroReveal_024,"None","/Game/SFX/Gacha/Guard_special.Guard_special","Guard_SSR","Hero","/Game/Test/PYI/Gacha/Reveal/Backgrounds/Guard.Guard","/Game/Test/PYI/Gacha/Reveal/Characters/Guard.Guard","/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Guard.Icon_Guard","False","None"
HeroReveal_025,"None","/Game/SFX/Gacha/Hermit_special.Hermit_special","Hermit_N","Hero","/Game/Test/PYI/Gacha/Reveal/Backgrounds/Hermit.Hermit","/Game/Test/PYI/Gacha/Reveal/Characters/Hermit.Hermit","/Game/Assets/BlackStromAsset/UI/Character/Icon_Portrait/Icon_Hermit.Icon_Hermit","False","None"
