---,SkillSpawnID,SkillEffectID,ProjectileCount,SocketName,SpawnPattern,SpreadAngle
1,"SPAWN_ARROW","EFFECT_ARROW","1","None","SINGLE","0.000000"
2,"SPAWN_FIREBALL","EFFECT_FIREBALL","1","None","SINGLE","0.000000"
3,"SPAWN_ICEBALL","EFFECT_ICEBALL","1","None","SINGLE","0.000000"
4,"SPAWN_LIGHTNING","EFFECT_LIGHTNING","1","None","SINGLE","0.000000"
5,"SPAWN_PIERCE","EFFECT_PIERCE","1","None","SINGLE","0.000000"
6,"SPAWN_HOMING_ARROW","EFFECT_HOMING_ARROW","2","None","SPREAD","60.000000"
7,"SPAWN_ENEMY_RANGED_SHOOT","EFFECT_ENEMY_RANGED_SHOOT","1","None","SINGLE","0.000000"
8,"SPAWN_HOMINGFAIRY","EFFECT_HOMINGFAIRY","4","None","CIRCLE","0.000000"
9,"SPAWN_NOBLE","EFFECT_NOBLE","1","None","SINGLE","0.000000"
10,"SPAWN_OUTSIDER","EFFECT_OUTSIDER","1","None","SINGLE","0.000000"
