---,DataID,StageName,SpawnEnemyIDs,SpawnWeights,SpawnInterval,bIsBossStage,BossEnemyID,RewardGold,RewardNormalTicket,RewardEnhanceTicket,RewardExp,PlayerStartTag,NextStageID
1,"NOT_STAGE","NSLOCTEXT(""DT_StageStaticData [257231D4E0D641768176AA6A2FD397BF]"", ""1_StageName"", ""Lobby"")","","","0.000000","False","None","0","0","0","0","NotReady","None"
2,"LAKE_01","NSLOCTEXT(""DT_StageStaticData [257231D4E0D641768176AA6A2FD397BF]"", ""2_StageName"", ""Last Requiem"")","(""ENEMY_NORMAL_SLIME_01"",""ENEMY_NORMAL_SLIME_02"",""ENEMY_NORMAL_BEAST_01"")","(0.500000,0.300000,0.200000)","5.000000","False","None","2000","2","3","30","Stage1","LAKE_02"
3,"LAKE_02","NSLOCTEXT(""DT_StageStaticData [257231D4E0D641768176AA6A2FD397BF]"", ""3_StageName"", ""Frozen Lunar Lake : 1"")","(""ENEMY_NORMAL_BEAST_01"",""ENEMY_NORMAL_BEAST_02"",""ENEMY_ELITE_BEAST_01"",""ENEMY_NORMAL_SLIME_01"")","(0.450000,0.300000,0.050000,0.200000)","5.000000","False","None","2000","2","3","50","Stage2","LAKE_03"
4,"LAKE_03","NSLOCTEXT(""DT_StageStaticData [257231D4E0D641768176AA6A2FD397BF]"", ""4_StageName"", ""Frozen Lunar Lake : 2"")","(""ENEMY_NORMAL_SLIME_01"",""ENEMY_NORMAL_SLIME_02"",""ENEMY_NORMAL_BEAST_01"",""ENEMY_NORMAL_BEAST_02"",""ENEMY_ELITE_SLIME_01"",""ENEMY_ELITE_BEAST_01"")","(0.350000,0.100000,0.350000,0.100000,0.050000,0.050000)","5.000000","False","None","2200","2","3","80","Stage3","LAKE_04"
5,"LAKE_04","NSLOCTEXT(""DT_StageStaticData [257231D4E0D641768176AA6A2FD397BF]"", ""461A7A334CCDB5B3095D979EFE752FD9"", ""Boss Stage : Upsidedown Lunar Lake"")","(""ENEMY_NORMAL_SLIME_01"",""ENEMY_NORMAL_SLIME_02"",""ENEMY_NORMAL_BEAST_01"",""ENEMY_NORMAL_BEAST_02"",""ENEMY_ELITE_SLIME_01"",""ENEMY_ELITE_BEAST_01"")","(0.350000,0.100000,0.350000,0.100000,0.050000,0.050000)","5.000000","True","ENEMY_BOSS_BEARKING_01","5000","5","10","120","Stage4","OCEAN_01"
6,"OCEAN_01","NSLOCTEXT(""DT_StageStaticData [257231D4E0D641768176AA6A2FD397BF]"", ""7_StageName"", ""Bon Voyage"")","(""ENEMY_NORMAL_FISH_01"",""ENEMY_NORMAL_FISH_02"",""ENEMY_NORMAL_FISH_03"")","(0.500000,0.300000,0.200000)","5.000000","False","None","2400","2","3","85","Stage5","OCEAN_02"
7,"OCEAN_02","NSLOCTEXT(""DT_StageStaticData [257231D4E0D641768176AA6A2FD397BF]"", ""8_StageName"", ""Ocean 1"")","(""ENEMY_NORMAL_FISH_01"",""ENEMY_NORMAL_FISH_03"",""ENEMY_NORMAL_BEAST_03"",""ENEMY_ELITE_FISH_01"")","(0.450000,0.300000,0.200000,0.050000)","5.000000","False","None","2400","2","3","90","Stage6","OCEAN_03"
8,"OCEAN_03","NSLOCTEXT(""DT_StageStaticData [257231D4E0D641768176AA6A2FD397BF]"", ""9_StageName"", ""Ocean 2"")","(""ENEMY_NORMAL_FISH_01"",""ENEMY_NORMAL_FISH_02"",""ENEMY_NORMAL_FISH_03"",""ENEMY_NORMAL_BEAST_03"",""ENEMY_ELITE_FISH_01"",""ENEMY_ELITE_FISH_02"")","(0.350000,0.100000,0.350000,0.100000,0.050000,0.050000)","5.000000","False","None","500","2","1","100","Stage7","OCEAN_04"
9,"OCEAN_04","NSLOCTEXT(""DT_StageStaticData [257231D4E0D641768176AA6A2FD397BF]"", ""11_StageName"", ""Boss Stage : Deep Down Below"")","(""ENEMY_NORMAL_FISH_01"",""ENEMY_NORMAL_FISH_02"",""ENEMY_NORMAL_FISH_03"",""ENEMY_NORMAL_BEAST_03"",""ENEMY_ELITE_FISH_01"",""ENEMY_ELITE_FISH_02"")","(0.350000,0.100000,0.350000,0.100000,0.050000,0.050000)","5.000000","True","ENEMY_BOSS_WAGON_01","1200","5","10","150","Stage8","DESERT_01"
10,"DESERT_01","NSLOCTEXT(""DT_StageStaticData [257231D4E0D641768176AA6A2FD397BF]"", ""12_StageName"", ""Whole New World"")","(""ENEMY_NORMAL_GHOST_01"",""ENEMY_NORMAL_GHOST_02"")","(0.700000,0.300000)","1.000000","False","None","500","2","1","0","NotReady","DESERT_02"
11,"DESERT_02","NSLOCTEXT(""DT_StageStaticData [257231D4E0D641768176AA6A2FD397BF]"", ""13_StageName"", ""Desert 1"")","(""ENEMY_NORMAL_SLIME_01"",""ENEMY_NORMAL_SLIME_02"")","(0.700000,0.300000)","1.000000","False","None","500","2","1","0","NotReady","DESERT_03"
12,"DESERT_03","NSLOCTEXT(""DT_StageStaticData [257231D4E0D641768176AA6A2FD397BF]"", ""14_StageName"", ""Desert 2"")","(""ENEMY_NORMAL_SLIME_01"",""ENEMY_NORMAL_SLIME_03"")","(0.700000,0.400000)","1.000000","False","None","500","2","1","0","NotReady","DESERT_04"
13,"DESERT_04","NSLOCTEXT(""DT_StageStaticData [257231D4E0D641768176AA6A2FD397BF]"", ""16_StageName"", ""Boss Stage : Hot and Spicy"")","(""ENEMY_NORMAL_SLIME_01"",""ENEMY_NORMAL_SLIME_05"")","(0.700000,0.600000)","1.000000","True","ENEMY_BOSS_BEARKING_01","500","2","1","0","NotReady","TEST_STAGE"
100,"TEST_STAGE","NSLOCTEXT(""[257231D4E0D641768176AA6A2FD397BF]"", ""E1D31D8046093393BB185DAB4844CEC5"", ""STAGE FOR TEST"")","(""ENEMY_NORMAL_TEST_RANGED_01"")","","20.000000","False","None","0","0","0","0","NotReady","None"
